generic,class,verdict,reason,alternative
augment,goldfishFit,override,"Reads the fit's own per-interval log-likelihood and dependent events, which the parent does not define.",
augment,goldfishFlavFit,override,"Container fan-out: the per-process tables row-bind and carry the process identity as columns.",
coef,goldfishFit,inherit,,
coef,goldfishFlavFit,override,"Container fan-out: one coefficient vector per process, unwrapped when flavor = selects one.",
coef_layout,goldfishFit,refuse,"A single-process fit has no per-process blocks: the layout is a coefficient surface over the fids of a joint specification.","Use coef() for the coefficient vector, or coef_layout() on the joint fit this process belongs to."
coef_layout,goldfishFlavFit,override,"The container is what a layout describes: one block per fid, in canonical fid order.",
diagnose_changepoints,goldfishFit,override,"Reads the fit's own residual series, which the parent does not define.",
diagnose_changepoints,goldfishFlavFit,override,"Container fan-out: each process is flagged against its own scale.",
diagnose_onset,goldfishFit,override,"Reads the fit's own event times and preprocessed statistics, which the parent does not define.",
diagnose_onset,goldfishFlavFit,override,"Container fan-out: each process carries its own onset window.",
diagnose_outliers,goldfishFit,override,"Reads the fit's own residual series, which the parent does not define.",
diagnose_outliers,goldfishFlavFit,override,"Container fan-out: each process is flagged against its own scale.",
evaluate_model,goldfishFit,override,"Re-enters estimation against the fit's own preprocessed statistics, which the parent does not define.",
evaluate_model,goldfishFlavFit,override,"Container fan-out over the per-process fits.",
fitted,goldfishFit,override,"Reads the fit's own event probabilities, which the parent does not define.",
fitted,goldfishFlavFit,override,"Container fan-out over the per-process fits.",
glance,goldfishFit,inherit,,
glance,goldfishFlavFit,override,"Container fan-out: one row per process, the identity appended as columns.",
logLik,goldfishFit,inherit,,
logLik,goldfishFlavFit,override,"The processes factorize, so the container reports the summed log-likelihood with summed nobs and df rather than one component's.",
margin_table,goldfishFit,override,"Recomputes margins from the fit's own preprocessed statistics, which the parent does not define.",
margin_table,goldfishFlavFit,override,"Container fan-out: the per-process tables stack and the context keeps the process map.",
model_terms,goldfishFit,inherit,,
model_terms,goldfishFlavFit,override,"Container fan-out: the per-process term tables row-bind and carry the process identity as columns.",
predict,goldfishFit,override,"Reads the fit's own preprocessed statistics, which the parent does not define.",
predict,goldfishFlavFit,override,"Container fan-out over the per-process fits.",
print,goldfishFit,inherit,,
print,goldfishFlavFit,override,"The container prints its process map and each process's coefficients, not one coefficient vector.",
residuals,goldfishFit,override,"Reads the fit's own event scores and interval log-likelihoods, which the parent does not define.",
residuals,goldfishFlavFit,override,"Container fan-out over the per-process fits.",
summary,goldfishFit,inherit,,
summary,goldfishFlavFit,override,"Container fan-out: one summary per process, unwrapped when flavor = selects one.",
test_gof,goldfishFit,override,"Refits and simulates against the fit's own preprocessed statistics, which the parent does not define.",
test_gof,goldfishFlavFit,override,"Container fan-out over the per-process fits.",
test_parameter,goldfishFit,override,"Reads the fit's own information matrix and preprocessed statistics, which the parent does not define.",
test_parameter,goldfishFlavFit,override,"Container fan-out over the per-process fits.",
test_time,goldfishFit,override,"Splits the fit's own event sequence and refits, which the parent cannot do.",
test_time,goldfishFlavFit,override,"Container fan-out over the per-process fits.",
tidy,goldfishFit,inherit,,
tidy,goldfishFlavFit,override,"Container fan-out: the per-process coefficient tables row-bind and carry the process identity as columns.",
vcov,goldfishFit,inherit,,
vcov,goldfishFlavFit,override,"Container fan-out: one covariance matrix per process, unwrapped when flavor = selects one.",
